acronym,circulating_supply,market_cap,market_cap_currency_exchange,name,price,price_currency_exchange,variance_percent,volume,volume_currency_exchange
VIRTUAL,647.87 M,759.44 M,USD,Virtuals Protocol,1.1722,USD,+0.76%,177.89 M,USD
FLOW,1.56 B,763.56 M,USD,Flow,0.48876,USD,+3.08%,32.63 M,USD
NEO,70.54 M,752.23 M,USD,Neo,10.664,USD,+1.92%,41.25 M,USD
JTO,291.29 M,742.36 M,USD,Jito,2.5485,USD,+0.20%,55.07 M,USD
USDD,741.05 M,741.2 M,USD,USDD,1.0002,USD,−0.07%,12.59 M,USD
WIF,998.84 M,719.31 M,USD,dogwifhat,0.72014,USD,−1.19%,378.37 M,USD
XAUT,246.52 K,710.78 M,USD,Tether Gold,2883.22,USD,+0.27%,8.27 M,USD
MELANIA,483.31 M,707.57 M,USD,Official Melania Meme,1.464,USD,−2.54%,73.61 M,USD
AERO,764.69 M,673.02 M,USD,Aerodrome Finance,0.88012,USD,+1.04%,44.28 M,USD
PYTH,3.62 B,659.13 M,USD,Pyth Network,0.18183,USD,−2.06%,46.68 M,USD
RON,619.39 M,658.78 M,USD,Ronin,1.0636,USD,+2.22%,18.18 M,USD
PENGU,62.86 B,650.79 M,USD,Pudgy Penguins,0.010353,USD,−6.83%,165.81 M,USD
AXS,158.42 M,649.94 M,USD,Axie Infinity,4.1025,USD,+3.79%,35.08 M,USD
